service_tag,model,screen_grade,chassis_grade,color,charger,status,sale_price,sale_date,notes,list_price,photo_notes
F8ZSFS3,Vostro 7620,,,,Y,sold,450.00,2026-09-12,"eBay 147557828429 listed 2026-09-07 at $445.00 free shipping; repriced 2026-09-09 $445.00 -> $489.00 (ladder v2, Best Offer accept 90% / decline 75%); 2026-09-11 charger ADDED (moved from the seven 7620s sold to arkpro-2017 without adapters), repriced $489.00 -> $519.00, listing revised to 'charger included'; eBay 147557828429 arkpro-2017 Best Offer $450.00 accepted 2026-09-12 5:28 AM PDT, free shipping, charger included (above the $449 floor; mah4907 was clustered at our live $449 counter); paid 2026-09-12 9:50 AM PDT (order 19-15141-09867); ship by 2026-09-16; USPS Ground Advantage label bought 2026-09-12 $12.34 (bulk), tracking 9434608106245568426030, sheet stamped INCLUDE CHARGER",519.00,"Photos show a clean lid, keyboard, palm rest and touchpad with no scratches or shiny keys; ports clean; underside clean apart from a small white sticker. Photos were taken before the Dell 130 W charger was added; the charger is included."
22R9LS3,Vostro 7620,,,,,sold,450.00,2026-09-12,"eBay 147557828433 listed 2026-09-07 at $479.00 free shipping; anchor test 2026-09-08: revised $479.00 -> $529.00, Best Offer auto-accept 90% / auto-decline 83%; eBay 147557828433 arkpro-2017 lot deal $450.00 accepted 2026-09-12 5:26 AM PDT, free shipping, SHIPS WITHOUT CHARGER (charger kept); paid 2026-09-12 9:50 AM PDT (order 21-15137-09851); ship by 2026-09-16; USPS Ground Advantage label bought 2026-09-12 $12.34 (bulk), tracking 9434608106244546597311, sheet stamped SHIP WITHOUT CHARGER",529.00,"Photos show a clean lid, palm rest, touchpad and keyboard with no scratches, dents or shiny keys; ports and underside clean apart from one small white label on the underside. Blue keyboard backlight working. 130 W Dell charger pictured."
2XR9LS3,Vostro 7620,,,,,sold,450.00,2026-09-12,"eBay 147557828434 listed 2026-09-07 at $469.00 free shipping; repriced 2026-09-09 $469.00 -> $519.00 (ladder v2, Best Offer accept 90% / decline 75%); eBay 147557828434 arkpro-2017 lot deal $450.00 accepted 2026-09-12 4:55 AM PDT, free shipping, SHIPS WITHOUT CHARGER (charger kept); ship by 2026-09-16; USPS Ground Advantage label bought 2026-09-12 $12.34 (bulk), tracking 9434608106245568279377, sheet stamped SHIP WITHOUT CHARGER",519.00,"Photos show wear on the lid: a small white nick on one lid corner, two short light scratches near the lid's right edge and a light rubbed patch along the lid's top edge (all shown close-up). Keyboard, palm rest, touchpad, ports and underside clean; screen clean. 130 W Dell charger pictured."
2R3X9S3,Vostro 7620,,,,,sold,489.00,2026-09-10,"eBay 147557828436 full price $489.00 (ladder v2) paid 2026-09-10 1:16 AM PDT, free shipping, charger included, 69% battery disclosed; ship by 2026-09-15; USPS Ground Advantage label bought 2026-09-10 $14.62, tracking 9434608106244540823935; PHYSICAL SWAP found 2026-09-12: this laptop (69% battery) is believed to have shipped on 2026-09-09 in the box labeled 6Q3X9S3 (order 18-15130-87607, UPS 1Z14V5340329175725, buyer 489gs_79, $529); its own order 08-15151-43381 will be fulfilled with the real 6Q3X9S3 unit; 2026-09-12 buyer 489gs_79 messaged: choice of $40 partial refund or swap for 4ZJ6JS3 (prepaid return first); no reply by 2026-09-14 12:00 PDT = $40 refund; $40.00 partial refund issued 2026-09-12 (eBay refund 5203603675, net $34.56 after fee credit) for the 69% vs 100% battery gap; buyer chose the refund and was offered 4ZJ6JS3 at $479",489.00,"Photos show a clean lid, palm rest, touchpad and screen; one small light scuff on the right Alt key; small white sticker on the underside. 130 W Dell charger pictured. NOTE 2026-09-12: photos 09 and 10 in this album show the 6Q3X9S3 sticker; the two units were photographed back to back and mixed."
2YR9LS3,Vostro 7620,,,,,sold,450.00,2026-09-12,"eBay 147557828427 listed 2026-09-07 at $459.00 free shipping; anchor test 2026-09-08: revised $459.00 -> $509.00, Best Offer auto-accept 90% / auto-decline 83%; eBay 147557828427 arkpro-2017 lot deal $450.00 accepted 2026-09-12 4:56 AM PDT, free shipping, SHIPS WITHOUT CHARGER (charger kept); ship by 2026-09-16; USPS Ground Advantage label bought 2026-09-12 $12.34 (bulk), tracking 9434608106244546453976, sheet stamped SHIP WITHOUT CHARGER",509.00,"Photos show a clean lid, keyboard, palm rest and touchpad with no scratches or shiny keys, only light fingerprint smudges on the lid; ports and underside clean apart from a small white sticker. 130 W Dell charger pictured."
6Q3X9S3,Vostro 7620,,,,,sold,529.00,2026-09-09,"eBay 147557828430 full price $529.00 paid 2026-09-09 10:54 AM PDT (anchor-test unit), free shipping, charger included; UPS Ground label bought 2026-09-09 $9.87, tracking 1Z14V5340329175725; PHYSICAL SWAP found 2026-09-12: this laptop (100% battery) was still on hand on 2026-09-12 with its stamped box; the 2026-09-09 shipment under its label carried 2R3X9S3 instead. This unit ships to the 2R3X9S3 buyer (order 08-15151-43381, USPS 9434608106244540823935) with its charger",529.00,"Photos show a clean lid, keyboard, palm rest, touchpad and ports with no scratches, dents or shiny keys; screen clean. 130 W Dell charger pictured."
JWJ6JS3,Vostro 7620,,,,,sold,435.00,2026-09-09,"eBay 147557828438 counteroffer $435.00 accepted by buyer and paid 2026-09-09 9:52 AM PDT (asked 459.00), free shipping, charger included; USPS Ground Advantage label bought 2026-09-09 $8.30, tracking 9434608106244537814793",459.00,"Photos show a clean lid, keyboard, palm rest and touchpad with no scratches or shiny keys; ports clean; underside clean apart from a small white sticker. 130 W Dell charger pictured."
7Q25GS3,Vostro 7620,,,,,sold,450.00,2026-09-12,"eBay 147557828423 listed 2026-09-07 at $459.00 free shipping; repriced 2026-09-09 $459.00 -> $509.00 (ladder v2, Best Offer accept 90% / decline 75%); eBay 147557828423 arkpro-2017 lot deal $450.00 accepted 2026-09-12 4:55 AM PDT, free shipping, SHIPS WITHOUT CHARGER (charger kept); ship by 2026-09-16; USPS Ground Advantage label bought 2026-09-12 $12.34 (bulk), tracking 9434608106245568279315, sheet stamped SHIP WITHOUT CHARGER",509.00,"Photos show wear on the lid: a light scratch line down the left side, a short scratch and a small paint chip on one lid corner (shown close-up), and fingerprint smudges. Keyboard, palm rest, touchpad, screen and ports clean; underside clean apart from a small white sticker. 130 W Dell charger pictured."
3Y3GCS3,Vostro 7620,,,,,sold,469.00,2026-09-09,"eBay 147557828424 full price $469.00 paid 2026-09-09 9:44 AM PDT, free shipping, charger included; SECURE BOOT MUST BE TURNED ON BEFORE SHIPPING; USPS Ground Advantage label bought 2026-09-09 $12.34, tracking 9434608106244537822255",469.00,"Photos show a clean lid, keyboard, palm rest and touchpad with no scratches or shiny keys; ports clean; underside clean apart from a small white sticker. 130 W Dell charger pictured."
5YR9LS3,Vostro 7620,C,,,N,listed,,,"PARKED 2026-09-07. Screen cracked top-right, panel black in BIOS. No audit, no photos. SSD still holds prior-owner data: erase (Auditor on HDMI monitor) or pull it before any sale. Sell as parts/repair.; 2026-09-13 SSD REMOVED (kept by Frankie; drive never erased); external HDMI showed no image; RAM photo shows one Samsung 8 GB DDR5-4800 SODIMM (M425R1GB4BB0); underside sticker MFG YR 2023, Reg Model P117F; 12 photos exported; to list as For parts or not working at $249 (auto-accept $225, floor $175), no charger; eBay 147570821727 listed 2026-09-13 11:26 AM PDT at $249.00 For parts or not working, Best Offer (auto-accept $225 / auto-decline $175), free shipping, no returns, no charger; 2026-09-15 direct $200 seller offer sent to jp98-76 from the message thread (expires ~Sep 19); ask stays $249, auto-accept $225, floor $175; 2026-09-17 6:30 AM PDT price cut $249 -> $179 (auto-accept $150, auto-decline under $120) because Frankie wants it sold fast; jp98-76 messaged 6:38 AM PDT that $150 through Best Offer is accepted instantly; never under $150 without Frankie",179.00,"Photos show the interior with the bottom cover off, the RAM module label, the closed lid, keyboard and palm rest (clean), touchpad (clean), left and right sides, the back vents, the underside with its service-tag label, and chipped paint with nicks along the front-left corner and edge of both the lid and the base. The screen is shown powered off; the crack at the top-right corner is faint in the photo."
GT3X9S3,Vostro 7620,,,,N,sold,400.00,2026-09-08,"eBay 147558286209 Best Offer $400.00 accepted 2026-09-08 (asked 435.00), free shipping, no charger; ship by 2026-09-11; USPS Ground Advantage label bought 2026-09-08 $12.34, tracking 9434608106245556825166",435.00,"Photos show a cluster of small light nicks and a short scratch near one lid corner along the bottom edge, plus faint scuffs and smudges on the lid (shown close-up); a small spot on the touchpad; keyboard, palm rest and ports clean; underside clean apart from a small white sticker. No charger is pictured and none is included."
43XFKG3,Vostro 15 7510,,,,N,sold,395.00,2026-09-08,"eBay 147558286211 counteroffer $395.00 accepted by buyer and paid 2026-09-08 5:51 PM PDT (asked 415.00), free shipping, no charger; ship by 2026-09-11; USPS Ground Advantage label bought 2026-09-09 $8.30, tracking 9434608106244536012770",415.00,"Photos show a clean lid, keyboard, palm rest and touchpad with no scratches or shiny keys; faint scuff patches on the underside; Windows sticker on the underside. No charger is pictured and none is included."
F5R6CL3,Vostro 15 7510,,,,Y,sold,450.00,2026-09-11,"eBay 147558286213 listed 2026-09-07 at $425.00 free shipping, no charger; repriced 2026-09-09 $425.00 -> $459.00 (ladder v2, Best Offer accept 90% / decline 75%); 2026-09-11 charger ADDED (moved from the seven 7620s sold to arkpro-2017 without adapters), repriced $459.00 -> $489.00, listing revised to 'charger included'; SOLD: eBay 147558286213 Best Offer $450.00 paid 8:47 PM PDT Sep 11, free shipping, charger included; ship by 2026-09-16; USPS Ground Advantage label bought 2026-09-12 $12.34, tracking 9434608106244546462923, sheet stamped INCLUDE CHARGER",489.00,"Photos show a clean lid, keyboard, palm rest and touchpad with no scratches or shiny keys, only light fingerprint smudges on the lid; ports and underside clean apart from a small white label and the Windows sticker. Photos were taken before the Dell 130 W charger was added; the charger is included."
FXQVFPC97R,MacBook Pro 13 M2 2022,A,A,Space Gray,Y,sold,629.00,2026-09-14,"Frankie's own MacBook Pro (not from the Dell batch; no auditor run). Mac14,7 / A2338, part MNEH3LL/A, Apple M2 8-core CPU 10-core GPU, 8 GB, 256 GB (APPLE SSD AP0256Z), macOS Sequoia 15.5; battery 47 cycles, 94% max capacity, Normal (System Information 2026-09-13); Activation Lock Disabled; erased with Erase All Content and Settings to the Hello screen 2026-09-13; original box + Apple 67 W USB-C adapter + cable INCLUDED; webcam privacy slider fitted; 22 photos exported 2026-09-13 from the Photos album 'Macbook'; eBay 147570986666 listed 2026-09-13 1:20 PM PDT at $629.00 (Used, Best Offer auto-accept $566 / auto-decline $472; counter $595, floor $540), free shipping, no returns; title cannot name the box or charger (eBay category filter LP_Miscat_AccessANDParts_Laptops rejected 'w/ Box and Charger'); 2026-09-13 Frankie confirmed: no AppleCare+ ever bought, Mac removed from his Apple Account device list, adapter wattage not checked (listing keeps the box's 67 W wording hedged); listing revised accordingly; SOLD 2026-09-14 3:30 AM PDT at the full $629.00 Buy It Now (no offer) to jef_668733, order 24-15153-87948, $670.67 with tax, free shipping, ship by Sep 17 - LABEL NEEDED, INCLUDE CHARGER (ships in its original box inside a padded box); USPS Ground Advantage label bought 2026-09-14 $13.99 (6 lb, 18x14x6, standard insurance), tracking 9434608106244551244644, sheet stamped INCLUDE CHARGER (Apple 67 W adapter + cable, ship in the Apple box inside a padded box)",629.00,"Photos show the Mac on the Hello screen, clean keyboard, Touch Bar, trackpad, lid, underside, both sides, the open box with adapter and cable, the box front and its serial label, and photographed screens of the battery (47 cycles, 94%), storage and hardware reports. No dents or scratches visible; a stick-on webcam privacy slider covers the camera."
3NBV4X3,Precision 5470,C,C,Gray,Y,sold,369.00,2026-09-14,"Frankie's own Precision (not from the Vostro batch), dropped: LCD cracked at the bottom-right corner with vertical lines (still shows an image), right hinge torn out of the lid. Audited 2026-09-13: i9-12900H, 32 GB LPDDR5, RTX A1000, 14-inch 2560x1600 touchscreen, 512 GB SK hynix PC801 (5% wear, SMART pass), battery 62% health, keyboard test pass, display test fail. SSD secure-erased by the Auditor (nvme format, verified blank); Restorer install running 2026-09-13. Sell For parts or not working; include one spare Dell 130 W USB-C adapter; proposed $399 OBO (auto-accept $359, floor $299).; eBay 147571382455 listed 2026-09-13 5:50 PM PDT at $399.00 For parts or not working, Best Offer (auto-accept $359 / auto-decline $299; counter $369, floor $330), free shipping, no returns; listing promises a Dell USB-C power adapter (not pictured) - ship one of the spare Dell USB-C adapters; SOLD 2026-09-14 5:32 AM PDT to tccom4420 for $369.00 (accepted our $369 counter on his $300 offer), order 23-15141-32495, ship by Sep 17 - INCLUDE the Dell USB-C adapter, tape the lid shut, pad the hinge side; USPS Ground Advantage label bought 2026-09-14 $17.12 (6 lb, 18x14x6, standard insurance), tracking 9434608106245573600616, sheet stamped INCLUDE Dell USB-C adapter; tape lid, pad hinge side",399.00,"13 photos: Windows 11 setup screen with vertical lines and a cracked bottom-right corner, crack close-up, torn right hinge joint with a shim, hinge bracket out of place at the rear, bottom cover bent away from the palm rest near the front-right corner, scuffed paint and a light scratch on the lid right of the logo, small paint nicks on the lid front edge, keyboard and touchpad intact, underside and service-tag sticker."
IP12MINI-0GR9,iPhone 12 mini,C,C,Black,N,sold,55.00,2026-09-17,"Frankie's family phone (his kid's), not from the laptop batch; key is the last 4 of the serial (full serial and IMEI stay out of the public repo). iPhone 12 mini 64 GB, part MG603LL/A (AT&T part number), iOS 17.4.1; Carrier Lock: No SIM restrictions; Parts and Service History: Display Unknown Part; touch glitchy and unreliable; back glass shattered with pieces missing; side buttons and charging work (Frankie); battery health not read. Erased from Settings with no Apple Account prompt, so Find My was off (Frankie 2026-09-14); not stolen. eBay 147572524090 listed 2026-09-14 5:26 AM PDT at $89.99 For parts or not working (category 9355), Best Offer auto-accept $80 / auto-decline under $65; counter $84, floor $68; markdowns $79.99 at day 7 and $74.99 at day 14, buyback (SellCell/BankMyCell ~$34-36) if no $52 offer by day 21; free shipping, no returns; phone only (no SIM, charger or cable). AT&T SIM pulled by Frankie 2026-09-14. Before shipping: clear tape over the back, small rigid box.; 2026-09-15 repriced $89.99 -> $79.99 (auto-accept $80 -> $70, decline <$65 unchanged) after a cracked-back-only 12 mini sold at $89.95 on Sep 15; sweep Step 3e counters $75, floor $65; 2026-09-17 6:30 AM PDT price cut $79.99 -> $64.99 (auto-accept $55, auto-decline under $50) because Frankie wants it sold fast; never under $55 without Frankie; SOLD 2026-09-17 7:36 PM PDT for $55.00 to bar_950178 (order 13-15176-35812) when he accepted the $55 seller offer; ship by Sep 22; SHIP WITHOUT CHARGER - phone only, no SIM, clear tape over the shattered back, small rigid box; USPS Ground Advantage label bought 2026-09-18 $9.54, tracking 9434608106245588602414, 1 lb 8x6x3",64.99,"6 photos: front lit on the Hello screen, shattered back (cable visible, not included), About crops for iOS 17.4.1 / iPhone 12 mini / MG603LL/A, Display Unknown Part, 64 GB and Carrier Lock No SIM restrictions; serial, IMEI and SIM rows cropped out, EXIF stripped."
IPM2-LOT2,iPad mini 2 lot of 2,C,C,Silver + Space Gray,N,listed,,,"Frankie's family iPads, sold as one lot (his call 2026-09-14 to save shipping). Unit A: silver A1490 Wi-Fi + Cellular (Verizon config) MF075LL/A 16 GB, serial ends FLMK, iOS 12.5.7, no Apple Account; before the erase Home/volume/top buttons, camera, video with sound, Wi-Fi and charging worked (Frankie); debris in the headphone jack (untested); ran ~5 h from full; Verizon SIM pulled by Frankie 2026-09-14. Unit B: space gray A1489 Wi-Fi ME276NF/A 16 GB, serial ends FCM5, iOS 12.5.7, no Apple Account; HOME BUTTON JAMMED so the iOS 12 Hello screen ('Press home to open') cannot be passed on the iPad; other buttons, cameras, video and audio worked before the erase; glass scratches, front-edge chip, pink residue on a corner. eBay 147572572782 listed 2026-09-14 5:53 AM PDT at $39.99 For parts or not working (category 171485), Best Offer auto-accept $36 / auto-decline under $30; counter $36, floor $32; free shipping, no returns; iPads only, nothing else included. First two uploads failed: Internet Connectivity is required in 171485, and error 240 (tablet accessory filter) fired on 'For Parts' / 'Home Button' in the title. Before shipping: both iPads in one padded box.; 2026-09-17 6:30 AM PDT price cut $39.99 -> $29.99 (auto-accept $25, auto-decline under $20) because Frankie wants it sold fast; never under $25 without Frankie",29.99,"24 photos: unit A (1, 3, 5, 6, 9-17) Hello screen, silver back, About crop (12.5.7 / iPad mini 2 / MF075LL/A / 16 GB), A1490 engraving, jack debris, edge and corner wear, dusty glass; unit B (2, 4, 7, 8, 18-24) Hello screen 'Press home to open', space gray back, About crop (ME276NF/A / 16 GB), A1489 engraving, erase progress screen, glass scratches, pink corner residue, edge chip and scuffs; serial and network rows cropped, EXIF stripped."
RABBITR1-95D0,Rabbit r1,A,A,Leuchtorange (orange),N,sold,130.00,2026-09-14,"Frankie's own Rabbit r1 AI companion (not from the laptop batch); key is the last 4 of the serial (full serial and IMEI stay out of the public repo). Label: Model r1, Color Leuchtorange, FCC ID 2BFB4R1, input 5VDC 1A. Unboxed and used once or twice (Frankie); factory reset, boots to the r1 logo and the language setup screen (photos 2026-09-14). Includes its original clear display case; no charger, cable or SIM card (Frankie 2026-09-14). Camera, speaker, microphone, Wi-Fi and SIM slot not re-tested after the reset. Sold comps 2026-08-01..09-13: used/open box $105-152 + shipping, sealed $120-200. eBay 147572671060 listed 2026-09-14 6:50 AM PDT at $149.00 Used (category 175837 Other Consumer Electronics), Best Offer auto-accept $125 / auto-decline under $110; counter $139, floor $120; free shipping, no returns. Before shipping: wipe the screen and the inside of the case (a crumb is visible in the case), small padded box.; 2026-09-14 Frankie checked the camera after the reset: it swivels and works (speaker, microphone, Wi-Fi and SIM slot still not re-tested); SOLD 2026-09-14 11:19 AM PDT to silvermountain70 for $130.00 (he re-countered $130 on our $139 counter to his $115 offer; accepted per Step 3g), order 09-15168-42406, free shipping, ship by Sep 17 - LABEL NEEDED, no charger or cable, ship in the original clear case in a small padded box; USPS Ground Advantage label bought 2026-09-14 $10.01 (1 lb, 10x8x4, standard insurance), tracking 9434608106245575475168, sheet stamped NO charger or cable, r1 in its clear case, small padded box",149.00,"20 photos: r1 in the open clear case on the boot logo with the label (IMEI and S/N blurred), plain orange back with speaker grille, powered on at the language setup screen, boot logo, closed case from the top and all four sides, bare device close-ups of scroll wheel, camera, side button, SIM tray and USB-C port. No scratches or scuffs visible; a few dust specks on the screen and a crumb inside the case; EXIF stripped."
IPAD9-Q2X1,iPad 9th gen Wi-Fi 64GB,A,A,Space Gray,N,sold,119.00,2026-09-18,"Frankie's family iPad (his daughter's), not from the laptop batch; key is the last 4 of the serial (full serial stays out of the public repo). iPad (9th generation) Wi-Fi 64 GB, MK2K3LL/A, A2602, Space Gray; passcode was forgotten so it was restored in Finder 2026-09-14 to iPadOS 27.0; read over USB 2026-09-14: Activated with no Apple Account (no Activation Lock), battery 132 cycles, 8239 of 8557 mAh = 96.3%. Frankie's check 2026-09-17: cameras, sound, buttons and screen pass; then erased to Hello. Not tested: Touch ID, Bluetooth, microphone, headphone jack. eBay 147580054989 listed 2026-09-17 7:58 AM PDT at $139.99 Used (category 171485), Best Offer auto-accept $118 / auto-decline under $100; counter $125, floor $105 (Frankie asked for the high end of the justified range; verified private no-returns comps are $105-$116 with a few at $125-$142); free shipping USPS Ground Advantage, no returns; iPad only, nothing else included. The second family iPad 9 (serial ends W4M1, engraved) stays with his daughter and is not for sale.; Frankie 2026-09-18: bought new, all original parts, never opened or repaired (told vitalibraslavsky-0); SOLD 2026-09-18 3:03 PM PDT for $119.00 to travinh007 (Best Offer at/above the $118 auto-accept), order 23-15161-16254, ship by Sep 23; iPad only, no accessories; USPS Ground Advantage label bought 2026-09-18 $8.07, tracking 9434608106245590862608",139.99,"16 photos: lit Hello screen, Space Gray back (engraving fine print blurred), About crop (iPadOS 27.0 / iPad 9th generation / MK2K3LL/A / 64 GB), all edges and ports, small nick at the headphone jack opening, pinpoint nick on the bottom edge, corner close-ups; a patterned cushion reflects in the glass in the corner shots (explained in the listing); owner name, serial and network rows cropped out, EXIF stripped."
